date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4}
2015-03-03,206,205.0,216.0,240.0,217.0
2015-03-10,244,206.0,205.0,216.0,240.0
2015-03-17,228,244.0,206.0,205.0,216.0
2015-03-24,216,228.0,244.0,206.0,205.0
2015-03-31,198,216.0,228.0,244.0,206.0
2015-04-07,179,198.0,216.0,228.0,244.0
2015-04-14,190,179.0,198.0,216.0,228.0
2015-04-21,201,190.0,179.0,198.0,216.0
2015-04-28,187,201.0,190.0,179.0,198.0
2015-05-05,185,187.0,201.0,190.0,179.0
2015-05-12,193,185.0,187.0,201.0,190.0
2015-05-19,211,193.0,185.0,187.0,201.0
2015-05-26,201,211.0,193.0,185.0,187.0
2015-06-02,188,201.0,211.0,193.0,185.0
2015-06-09,190,188.0,201.0,211.0,193.0
2015-06-16,192,190.0,188.0,201.0,211.0
2015-06-23,183,192.0,190.0,188.0,201.0
2015-06-30,156,183.0,192.0,190.0,188.0
2015-07-07,157,156.0,183.0,192.0,190.0
2015-07-14,146,157.0,156.0,183.0,192.0
2015-07-21,106,146.0,157.0,156.0,183.0
2015-07-28,189,106.0,146.0,157.0,156.0
2015-08-04,151,189.0,106.0,146.0,157.0
2015-08-11,165,151.0,189.0,106.0,146.0
2015-08-18,178,165.0,151.0,189.0,106.0
2015-08-25,177,178.0,165.0,151.0,189.0
2015-09-01,193,177.0,178.0,165.0,151.0
2015-09-08,166,193.0,177.0,178.0,165.0
2015-09-15,182,166.0,193.0,177.0,178.0
2015-09-22,182,182.0,166.0,193.0,177.0
2015-09-29,78,182.0,182.0,166.0,193.0
2015-10-06,174,78.0,182.0,182.0,166.0
2015-10-13,177,174.0,78.0,182.0,182.0
2015-10-20,174,177.0,174.0,78.0,182.0
2015-10-27,177,174.0,177.0,174.0,78.0
2015-11-03,160,177.0,174.0,177.0,174.0
2015-11-10,181,160.0,177.0,174.0,177.0
2015-11-17,168,181.0,160.0,177.0,174.0
2015-11-24,150,168.0,181.0,160.0,177.0
2015-12-01,190,150.0,168.0,181.0,160.0
2015-12-08,166,190.0,150.0,168.0,181.0
2015-12-15,209,166.0,190.0,150.0,168.0
2015-12-22,214,209.0,166.0,190.0,150.0
2015-12-29,248,214.0,209.0,166.0,190.0
2016-01-05,192,248.0,214.0,209.0,166.0
2016-01-12,191,192.0,248.0,214.0,209.0
2016-01-19,159,191.0,192.0,248.0,214.0
2016-01-26,181,159.0,191.0,192.0,248.0
2016-02-02,282,181.0,159.0,191.0,192.0
2016-02-09,203,282.0,181.0,159.0,191.0
2016-02-16,210,203.0,282.0,181.0,159.0
2016-02-23,210,210.0,203.0,282.0,181.0
2016-03-01,188,210.0,210.0,203.0,282.0
2016-03-08,199,188.0,210.0,210.0,203.0
2016-03-15,173,199.0,188.0,210.0,210.0
2016-03-22,171,173.0,199.0,188.0,210.0
2016-03-29,142,171.0,173.0,199.0,188.0
2016-04-05,153,142.0,171.0,173.0,199.0
2016-04-12,166,153.0,142.0,171.0,173.0
2016-04-19,180,166.0,153.0,142.0,171.0
2016-04-26,145,180.0,166.0,153.0,142.0
2016-05-03,159,145.0,180.0,166.0,153.0
2016-05-10,188,159.0,145.0,180.0,166.0
2016-05-17,151,188.0,159.0,145.0,180.0
2016-05-24,171,151.0,188.0,159.0,145.0
2016-05-31,137,171.0,151.0,188.0,159.0
2016-06-07,156,137.0,171.0,151.0,188.0
2016-06-14,149,156.0,137.0,171.0,151.0
2016-06-21,131,149.0,156.0,137.0,171.0
2016-06-28,172,131.0,149.0,156.0,137.0
2016-07-05,92,172.0,131.0,149.0,156.0
2016-07-12,104,92.0,172.0,131.0,149.0
2016-07-19,212,104.0,92.0,172.0,131.0
2016-07-26,191,212.0,104.0,92.0,172.0
2016-08-02,235,191.0,212.0,104.0,92.0
2016-08-09,228,235.0,191.0,212.0,104.0
2016-08-16,240,228.0,235.0,191.0,212.0
2016-08-23,184,240.0,228.0,235.0,191.0
2016-08-30,260,184.0,240.0,228.0,235.0
2016-09-06,199,260.0,184.0,240.0,228.0
2016-09-13,155,199.0,260.0,184.0,240.0
2016-09-20,178,155.0,199.0,260.0,184.0
2016-09-27,256,178.0,155.0,199.0,260.0
2016-10-04,232,256.0,178.0,155.0,199.0
2016-10-11,259,232.0,256.0,178.0,155.0
2016-10-18,213,259.0,232.0,256.0,178.0
2016-10-25,213,213.0,259.0,232.0,256.0
2016-11-01,169,213.0,213.0,259.0,232.0
2016-11-08,231,169.0,213.0,213.0,259.0
2016-11-15,198,231.0,169.0,213.0,213.0
2016-11-22,220,198.0,231.0,169.0,213.0
2016-11-29,240,220.0,198.0,231.0,169.0
2016-12-06,273,240.0,220.0,198.0,231.0
2016-12-13,271,273.0,240.0,220.0,198.0
2016-12-20,278,271.0,273.0,240.0,220.0
2016-12-27,293,278.0,271.0,273.0,240.0
2017-01-03,177,293.0,278.0,271.0,273.0
